;;;;;;;;;;;;;;;;;;;;;;;;
Report Generated From Altium Designer;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Designator;;Name;Desc;;;;LQPF100_A;;;Type;;Owner;;Show;;Number;;Name;;;Pin/Pkg Length;;;
;;T/SPI3_MIS;;;;;;;;;;;;;;;;_MISO//PB4/TIM3_;;;;;;
;;O//PB4/TIM;;;;;;;;;;;;;;;;CH1/SPI1_MISO;;;;;;
;;3_CH1/SPI1;;;;;;;;;;;;;;;;(5V);;;;;;
;;_MISO (5V);;;;;;;;;;;;;;;;;;;;;;
91;;PB5/PB5/I2;;;;;91;;;Passive;;1;;True;;True;;PB5/PB5/I2C1_SM;;;0mm;;;
;;C1_SMBA/;;;;;;;;;;;;;;;;BA/SPI3_MOSI/I2S;;;;;;
;;SPI3_MOSI/;;;;;;;;;;;;;;;;3_SD//TIM3_CH2/S;;;;;;
;;I2S3_SD//TI;;;;;;;;;;;;;;;;PI1_MOSI;;;;;;
;;M3_CH2/SP;;;;;;;;;;;;;;;;;;;;;;
;;I1_MOSI;;;;;;;;;;;;;;;;;;;;;;
92;;PB6/I2C1_S;;;;;92;;;Passive;;1;;True;;True;;PB6/I2C1_SCL/TIM;;;0mm;;;
;;CL/TIM4_C;;;;;;;;;;;;;;;;4_CH1//USART1_T;;;;;;
;;H1//USART;;;;;;;;;;;;;;;;X (5V);;;;;;
;;1_TX (5V);;;;;;;;;;;;;;;;;;;;;;
93;;PB7/I2C1_S;;;;;93;;;Passive;;1;;True;;True;;PB7/I2C1_SDA/FS;;;0mm;;;
;;DA/FSMC_;;;;;;;;;;;;;;;;MC_NADV/TIM4_C;;;;;;
;;NADV/TIM4;;;;;;;;;;;;;;;;H2//USART1_RX;;;;;;
;;_CH2//USA;;;;;;;;;;;;;;;;(5V);;;;;;
;;RT1_RX;;;;;;;;;;;;;;;;;;;;;;
;;(5V);;;;;;;;;;;;;;;;;;;;;;
94;;BOOT0;;;;;94;;;Passive;;1;;True;;True;;BOOT0;;;0mm;;;
95;;PB8/TIM4_;;;;;95;;;Passive;;1;;True;;True;;PB8/TIM4_CH3/SD;;;0mm;;;
;;CH3/SDIO_;;;;;;;;;;;;;;;;IO_D4//I2C1_SCL/;;;;;;
;;D4//I2C1_S;;;;;;;;;;;;;;;;CAN_RX (5V);;;;;;
;;CL/CAN_RX;;;;;;;;;;;;;;;;;;;;;;
;;(5V);;;;;;;;;;;;;;;;;;;;;;
96;;PB9/TIM4_;;;;;96;;;Passive;;1;;True;;True;;PB9/TIM4_CH4/SD;;;0mm;;;
;;CH4/SDIO_;;;;;;;;;;;;;;;;IO_D5//I2C1_SDA/;;;;;;
;;D5//I2C1_S;;;;;;;;;;;;;;;;CAN_TX (5V);;;;;;
;;DA/CAN_T;;;;;;;;;;;;;;;;;;;;;;
;;X (5V);;;;;;;;;;;;;;;;;;;;;;
97;;PE0/TIM4_;;;;;97;;;Passive;;1;;True;;True;;PE0/TIM4_ETR/FS;;;0mm;;;
;;ETR/FSMC;;;;;;;;;;;;;;;;MC_NBL0 (5V);;;;;;
;;_NBL0 (5V);;;;;;;;;;;;;;;;;;;;;;
98;;PE1/FSMC_;;;;;98;;;Passive;;1;;True;;True;;PE1/FSMC_NBL1;;;0mm;;;
;;NBL1 (5V);;;;;;;;;;;;;;;;(5V);;;;;;
99;;VSS_3;;;;;99;;;Passive;;1;;True;;True;;VSS_3;;;0mm;;;
100;;VDD_3;;;;;100;;;Passive;;1;;True;;True;;VDD_3;;;0mm;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
понедельник 22-окт-22.2018   10:15:39 AM;;;;;;;;;;;;;;;;;;;;;;;Page 6 of 6;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
